Wcap,Wgen,Wpeq,Wneq,Wage,Wspec_minor,Wspec_major,Wspec_mismatch,Wfair_low,Wfair_med,Wfair_high,Wmove,Wfcfs,total_cost,fairness_std,gini,jain,num_patients,total_rooms,status
0,0,0,6,0,0,0,0,0,0,5,6,0,438,2.607142857142857,0.0,0.0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,5,8,0,642,3.8214285714285716,0.0,0.0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,5,10,0,564,3.357142857142857,0.0,0.0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,7,6,0,420,2.5,0.0,0.0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,7,8,0,540,3.2142857142857144,0.0,0.0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,7,10,0,606,3.607142857142857,0.0,0.0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,9,6,0,450,2.6785714285714284,0.0,0.0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,9,8,0,618,3.6785714285714284,0.0,0.0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,9,10,0,606,3.607142857142857,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,5,6,0,312,1.3928571428571428,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,5,8,0,736,3.2857142857142856,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,5,10,0,816,3.642857142857143,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,7,6,0,320,1.4285714285714286,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,7,8,0,624,2.7857142857142856,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,7,10,0,680,3.0357142857142856,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,9,6,0,312,1.3928571428571428,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,9,8,0,584,2.607142857142857,0.0,0.0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,9,10,0,744,3.3214285714285716,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,5,6,0,380,1.3571428571428572,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,5,8,0,400,1.4285714285714286,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,5,10,0,680,2.4285714285714284,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,7,6,0,380,1.3571428571428572,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,7,8,0,410,1.4642857142857142,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,7,10,0,770,2.75,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,9,6,0,390,1.3928571428571428,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,9,8,0,400,1.4285714285714286,0.0,0.0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,9,10,0,800,2.857142857142857,0.0,0.0,1400,105,feasible
