Wcap,Wgen,Wpeq,Wneq,Wage,Wspec_minor,Wspec_major,Wspec_mismatch,Wfair_low,Wfair_med,Wfair_high,Wmove,Wfcfs,total_cost,fairness_std,gini,jain,num_patients,total_rooms,status
0,0,0,0,4,0,4,4,0,0,0,0,0,1876,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,4,0,4,6,0,0,0,0,0,1878,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,4,0,4,7,0,0,0,0,0,1879,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,4,0,6,4,0,0,0,0,0,1876,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,4,0,6,6,0,0,0,0,0,1880,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,4,0,6,7,0,0,0,0,0,1876,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,4,0,8,4,0,0,0,0,0,1876,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,4,0,8,6,0,0,0,0,0,1876,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,4,0,8,7,0,0,0,0,0,1879,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,4,4,0,0,0,0,0,2512,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,4,6,0,0,0,0,0,2814,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,4,7,0,0,0,0,0,2814,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,6,4,0,0,0,0,0,2508,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,6,6,0,0,0,0,0,2814,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,6,7,0,0,0,0,0,2815,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,8,4,0,0,0,0,0,2518,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,8,6,0,0,0,0,0,2814,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,6,0,8,7,0,0,0,0,0,2814,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,4,4,0,0,0,0,0,3128,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,4,6,0,0,0,0,0,3450,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,4,7,0,0,0,0,0,3607,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,6,4,0,0,0,0,0,3128,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,6,6,0,0,0,0,0,3454,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,6,7,0,0,0,0,0,3608,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,8,4,0,0,0,0,0,3128,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,8,6,0,0,0,0,0,3466,16.75,0.0,0.0,1400,105,feasible
0,0,0,0,8,0,8,7,0,0,0,0,0,3608,16.75,0.0,0.0,1400,105,feasible
