Wcap,Wgen,Wpeq,Wneq,Wage,Wspec_minor,Wspec_major,Wspec_mismatch,Wfair_low,Wfair_med,Wfair_high,Wmove,Wfcfs,total_cost,fairness_std,gini,jain,num_patients,total_rooms,status
0,2,3,0,0,0,0,0,0,2,0,0,0,6221,2.25,0.0,0.0,1400,105,feasible
0,2,3,0,0,0,0,0,0,3,0,0,0,6559,8.285714285714286,0.0,0.0,1400,105,feasible
0,2,3,0,0,0,0,0,0,5,0,0,0,6559,8.321428571428571,0.0,0.0,1400,105,feasible
0,2,5,0,0,0,0,0,0,2,0,0,0,10259,1.8571428571428572,0.0,0.0,1400,105,feasible
0,2,5,0,0,0,0,0,0,3,0,0,0,10597,7.857142857142857,0.0,0.0,1400,105,feasible
0,2,5,0,0,0,0,0,0,5,0,0,0,10463,5.392857142857143,0.0,0.0,1400,105,feasible
0,2,7,0,0,0,0,0,0,2,0,0,0,14283,1.25,0.0,0.0,1400,105,feasible
0,2,7,0,0,0,0,0,0,3,0,0,0,14649,7.785714285714286,0.0,0.0,1400,105,feasible
0,2,7,0,0,0,0,0,0,5,0,0,0,14557,6.142857142857143,0.0,0.0,1400,105,feasible
0,4,3,0,0,0,0,0,0,2,0,0,0,6087,0.0,0.0,0.0,1400,105,feasible
0,4,3,0,0,0,0,0,0,3,0,0,0,6091,0.03571428571428571,0.0,0.0,1400,105,feasible
0,4,3,0,0,0,0,0,0,5,0,0,0,6491,3.607142857142857,0.0,0.0,1400,105,feasible
0,4,5,0,0,0,0,0,0,2,0,0,0,10145,0.0,0.0,0.0,1400,105,feasible
0,4,5,0,0,0,0,0,0,3,0,0,0,10149,0.03571428571428571,0.0,0.0,1400,105,feasible
0,4,5,0,0,0,0,0,0,5,0,0,0,10797,5.785714285714286,0.0,0.0,1400,105,feasible
0,4,7,0,0,0,0,0,0,2,0,0,0,14203,0.0,0.0,0.0,1400,105,feasible
0,4,7,0,0,0,0,0,0,3,0,0,0,14211,0.07142857142857142,0.0,0.0,1400,105,feasible
0,4,7,0,0,0,0,0,0,5,0,0,0,14931,6.5,0.0,0.0,1400,105,feasible
0,6,3,0,0,0,0,0,0,2,0,0,0,6087,0.0,0.0,0.0,1400,105,feasible
0,6,3,0,0,0,0,0,0,3,0,0,0,6099,0.07142857142857142,0.0,0.0,1400,105,feasible
0,6,3,0,0,0,0,0,0,5,0,0,0,6087,0.0,0.0,0.0,1400,105,feasible
0,6,5,0,0,0,0,0,0,2,0,0,0,10145,0.0,0.0,0.0,1400,105,feasible
0,6,5,0,0,0,0,0,0,3,0,0,0,10145,0.0,0.0,0.0,1400,105,feasible
0,6,5,0,0,0,0,0,0,5,0,0,0,10151,0.03571428571428571,0.0,0.0,1400,105,feasible
0,6,7,0,0,0,0,0,0,2,0,0,0,14203,0.0,0.0,0.0,1400,105,feasible
0,6,7,0,0,0,0,0,0,3,0,0,0,14209,0.03571428571428571,0.0,0.0,1400,105,feasible
0,6,7,0,0,0,0,0,0,5,0,0,0,14221,0.10714285714285714,0.0,0.0,1400,105,feasible
