Metric,Value
Total Solving Time (s),171.25
Success Rate (%),100.00
Fairness - StdDev of Daily Penalty,1.77
Fairness - Gini Coefficient,0.68
Fairness - Jain Index,0.35
Total Penalty - Mean,1.29
Total Penalty - StdDev,1.77
Total Penalty - Min,0.00
Total Penalty - Max,15.06
Avg Daily Penalty - Mean,1.29
Avg Daily Penalty - StdDev,1.77
Avg Daily Penalty - Min,0.00
Avg Daily Penalty - Max,15.06
Patients with Zero Penalty,720
Patients with High Penalty (>mean+std),299
Most Penalized Patient (ID 621),"Total: 15.06, Avg: 15.06"
Least Penalized Patient (ID 0),"Total: 0.00, Avg: 0.00"
