Wcap,Wgen,Wpeq,Wneq,Wage,Wspec_minor,Wspec_major,Wspec_mismatch,Wfair_low,Wfair_med,Wfair_high,Wmove,total_cost,fairness_std,gini,jain,num_patients,total_rooms,status
0,0,0,6,0,0,0,0,0,0,5,6,438,2.607142857,0,0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,5,8,642,3.821428571,0,0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,5,10,564,3.357142857,0,0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,7,6,420,2.5,0,0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,7,8,540,3.214285714,0,0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,7,10,606,3.607142857,0,0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,9,6,450,2.678571429,0,0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,9,8,618,3.678571429,0,0,1400,105,feasible
0,0,0,6,0,0,0,0,0,0,9,10,606,3.607142857,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,5,6,312,1.392857143,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,5,8,736,3.285714286,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,5,10,816,3.642857143,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,7,6,320,1.428571429,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,7,8,624,2.785714286,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,7,10,680,3.035714286,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,9,6,312,1.392857143,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,9,8,584,2.607142857,0,0,1400,105,feasible
0,0,0,8,0,0,0,0,0,0,9,10,744,3.321428571,0,0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,5,6,380,1.357142857,0,0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,5,8,400,1.428571429,0,0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,5,10,680,2.428571429,0,0,1400,105,feasible
0,0,0,10,0,0,0,0,0,0,7,6,380,1.357142857,0,0,1400,105,feasible
